member_state,chi2_p_value,odds_ratio,mk_p_inside,sens_slope_inside,mk_p_buffer,sens_slope_buffer
AT,0,0.7219620629422008,0.08131787390348359,31.020487525837375,0.0393970496843573,59.75999377800992
BE,1.0072761273081783e-56,0.8733335352435284,0.09097646308605899,24.209301828431645,0.023128868664483777,90.13914967731684
BG,3.3782902483269773e-192,1.2637156308664625,0.22441148378657244,31.89710833019798,0.15382082239203035,19.367999553946788
CY,2.8720773802757833e-173,0.23819523786811986,0.22441148378657244,-0.500416760336375,0.5261780967197714,-0.25535633866658375
CZ,0,1.591441637642902,0.0030967114027454015,253.0486573459281,0.0010570065740947395,201.94026346961834
DE,0,0.7799225840407377,0.020119054734445644,513.0406847481327,0.013043371395279339,1275.5608441617144
DK,0,0.3146953402982495,0.6726109872286649,-7.385699173717057,0.5612202073936174,10.747368451273225
EE,0,0.07466477169309996,0.01745687657638276,41.514590952511334,1.4822155723976423e-5,373.4059096635397
ES,0,0.4942234720541754,5.961514569788904e-4,372.457693620303,1.1529206539108982e-4,489.0988771749726
FI,0,0.0459832067469542,0.008265058490477546,22.6690513847072,8.756060724180076e-4,681.433211339483
FR,0,0.25994109822121536,0.0012726551533738578,275.3113049350349,8.756060724180076e-4,411.67992520204933
GR,3.6682916538179304e-80,0.8260640584323562,0.9578745987779059,1.8190225140253855,0.7115714636761059,3.699879006995228
HR,0,1.6837825084224265,3.283740302872862e-4,96.03187115956094,3.283740302872862e-4,35.714759249494826
HU,0,1.838540732377788,0.026522235089512385,59.83545534453392,1.1644714020795078e-5,112.6031798984541
IE,0,0.6956236914777436,0.18666052241558184,19.32147537993626,0.030337374811837445,40.38577879623632
IT,0,0.7982695893555734,2.5881287891156488e-6,212.8347836315241,1.9954738331049123e-6,237.50259285940274
LT,0,1.4402445082680138,3.283740302872862e-4,132.35316189404534,4.757930548188614e-5,177.85640065469764
LU,5.294253926312835e-58,1.42745601683715,0.0018305274191599459,6.380259055079662,0.0010570065740947395,15.504962531807395
LV,0,0.2431855268466513,0.11305101958707044,19.83293141662216,2.1776418082376407e-4,120.48392813040388
MT,4.4527239592288164e-5,0.2232915256400166,0.19261627432960207,-0.06325959306688356,0.7603323075218761,-0.040907335281372095
NL,2.3030938391694625e-259,1.7822820498521132,0.7115714636761059,6.500219695870001,0.009647201991964168,6.06666401197143
PL,0,1.4278214245301342,2.1776418082376407e-4,699.807687874385,2.6776324288698794e-4,378.44252958540636
PT,0,0.4087526495218961,4.757930548188614e-5,184.24466781332453,7.1297579947454066e-6,129.24291289029748
RO,0,1.8341286106971282,0.05065703009411877,118.25440919351931,0.08131787390348359,40.93989621469625
SE,0,0.02475428831648231,0.24521106099768,15.297530048217043,0.00218681642776657,960.2044871272112
SI,3.6938355992433076e-210,1.3618828243382195,0.00218681642776657,70.02282126581913,0.004340011649314312,35.33238265645326
SK,0,1.534270760592173,0.3155727359639028,50.48427290859721,0.13914417482242494,43.952372918174774
